,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2024-02-24 00:00:00,44.4,39.9,52.0,0.0,,249.0,8.1,,1015.0,
1,2024-02-25 00:00:00,44.2,39.9,48.0,0.028,,224.0,13.9,,1004.9,
2,2024-02-26 00:00:00,35.8,28.9,43.0,0.008,,281.0,8.0,,1003.8,
3,2024-02-27 00:00:00,32.5,27.0,37.9,0.035,,236.0,7.8,,1014.9,
4,2024-02-28 00:00:00,41.0,33.1,46.0,0.421,,181.0,11.3,,1008.3,
5,2024-02-29 00:00:00,42.6,36.0,52.0,0.295,,209.0,12.2,,997.6,
6,2024-03-01 00:00:00,38.1,30.9,44.1,0.031,,161.0,7.8,,1001.2,
7,2024-03-02 00:00:00,34.2,30.0,39.0,0.24,,337.0,5.3,,996.3,
8,2024-03-03 00:00:00,34.2,27.0,42.1,0.0,,71.0,5.7,,1006.0,
9,2024-03-04 00:00:00,32.4,30.0,35.1,0.26,,251.0,6.0,,1010.5,
10,2024-03-05 00:00:00,29.1,21.9,41.0,0.0,,7.0,1.8,,1014.1,
11,2024-03-06 00:00:00,29.7,21.9,41.0,0.0,,11.0,1.6,,1017.1,
12,2024-03-07 00:00:00,31.5,21.9,43.0,0.0,,3.0,1.9,,1022.9,
13,2024-03-08 00:00:00,36.1,24.1,48.9,0.0,,39.0,3.5,,1025.7,
14,2024-03-09 00:00:00,39.7,28.9,54.0,0.075,,19.0,6.0,,1013.7,
15,2024-03-10 00:00:00,42.8,36.0,50.0,0.114,,152.0,10.0,,1008.9,
16,2024-03-11 00:00:00,43.3,34.0,50.0,0.035,,211.0,6.2,,1010.0,
17,2024-03-12 00:00:00,44.8,37.0,52.0,0.039,,225.0,9.4,,1010.0,
18,2024-03-13 00:00:00,38.3,32.0,48.9,0.012,,240.0,4.0,,1024.9,
19,2024-03-14 00:00:00,39.2,28.0,54.0,0.0,,8.0,2.0,,1032.3,
20,2024-03-15 00:00:00,43.5,30.0,59.0,0.0,,11.0,1.2,,1025.9,
21,2024-03-16 00:00:00,49.5,33.1,69.1,0.0,,358.0,1.7,,1021.1,
22,2024-03-17 00:00:00,52.0,37.0,70.0,0.0,,354.0,0.9,,1022.8,
23,2024-03-18 00:00:00,51.8,39.0,69.1,0.0,,6.0,1.2,,1021.5,
24,2024-03-19 00:00:00,52.7,39.0,71.1,0.0,,7.0,2.5,,1014.8,
25,2024-03-20 00:00:00,53.4,45.0,64.9,0.0,,219.0,6.8,,1010.2,
26,2024-03-21 00:00:00,50.0,43.0,55.9,0.0,,242.0,8.5,,1014.1,
27,2024-03-22 00:00:00,49.6,39.0,60.1,0.0,,16.0,2.2,,1012.6,
28,2024-03-23 00:00:00,45.7,39.9,50.0,0.035,,36.0,4.1,,1000.5,
29,2024-03-24 00:00:00,38.8,33.1,45.0,0.138,,70.0,5.2,,1005.4,
30,2024-03-25 00:00:00,36.7,27.0,46.0,0.0,,40.0,2.7,,1010.5,
31,2024-03-26 00:00:00,42.1,37.0,52.0,0.091,,25.0,5.0,,1012.2,
32,2024-03-27 00:00:00,41.4,36.0,48.0,0.283,,72.0,5.5,,1010.9,
33,2024-03-28 00:00:00,42.4,36.0,50.0,0.126,,276.0,6.2,,1008.9,
34,2024-03-29 00:00:00,44.1,35.1,53.1,0.0,,354.0,2.5,,1012.3,
35,2024-03-30 00:00:00,42.8,30.0,55.0,0.0,,349.0,1.6,,1010.8,
36,2024-03-31 00:00:00,45.3,33.1,57.9,0.0,,345.0,3.0,,1010.2,
37,2024-04-01 00:00:00,48.9,34.0,63.0,0.0,,335.0,4.0,,1017.4,
38,2024-04-02 00:00:00,57.4,41.0,71.1,0.0,,179.0,7.1,,1019.8,
39,2024-04-03 00:00:00,50.7,44.1,61.0,0.0,,217.0,10.0,,1014.6,
40,2024-04-04 00:00:00,46.4,39.9,54.0,0.102,,319.0,4.3,,1005.0,
41,2024-04-05 00:00:00,39.2,34.0,43.0,0.362,,192.0,4.5,,1005.6,
42,2024-04-06 00:00:00,43.0,39.0,48.0,0.035,,233.0,7.5,,1014.5,
43,2024-04-07 00:00:00,43.7,39.0,51.1,0.0,,305.0,4.3,,1020.2,
44,2024-04-08 00:00:00,45.0,34.0,52.0,0.0,,238.0,7.0,,1020.3,
45,2024-04-09 00:00:00,51.4,45.0,61.0,0.035,,246.0,10.3,,1018.3,
46,2024-04-10 00:00:00,46.2,30.9,59.0,0.0,,353.0,1.8,,1024.7,
47,2024-04-11 00:00:00,50.7,35.1,64.0,0.0,,23.0,3.1,,1013.9,
48,2024-04-12 00:00:00,56.8,50.0,64.9,0.0,,348.0,2.5,,1008.4,
49,2024-04-13 00:00:00,57.0,43.0,73.0,0.0,,0.0,1.4,,1010.8,
50,2024-04-14 00:00:00,58.1,44.1,75.9,0.0,,337.0,1.9,,1008.5,
51,2024-04-15 00:00:00,54.0,46.0,62.1,0.0,,215.0,10.9,,1013.6,
52,2024-04-16 00:00:00,43.3,34.0,51.1,0.008,,232.0,9.4,,1020.4,
53,2024-04-17 00:00:00,40.3,28.9,53.1,0.0,,24.0,2.8,,1027.2,
54,2024-04-18 00:00:00,42.4,30.9,52.0,0.0,,9.0,2.9,,1027.0,
55,2024-04-19 00:00:00,45.9,30.0,59.0,0.0,,35.0,6.5,,1024.9,
56,2024-04-20 00:00:00,53.2,36.0,66.9,0.0,,48.0,5.8,,1019.4,
57,2024-04-21 00:00:00,49.3,41.0,57.0,0.0,,232.0,11.2,,1021.5,
58,2024-04-22 00:00:00,46.6,34.0,60.1,0.0,,357.0,2.6,,1019.7,
59,2024-04-23 00:00:00,51.1,32.0,66.9,0.0,,10.0,1.2,,1015.6,
60,2024-04-24 00:00:00,52.7,36.0,64.9,0.0,,249.0,6.6,,1012.7,
